policy,target_coverage,n,n_auto_classified,n_deferred,coverage,deferral_rate,auto_accuracy,selective_risk,total_errors,errors_accepted,errors_deferred,error_capture_fraction,correct_unnecessarily_deferred,deferred_set_error_precision,auto_accuracy_sd,selective_risk_sd,error_capture_fraction_sd
predicted_class_rate,0.95,1576.0,1497.0,79.0,0.9498730964467005,0.05012690355329949,0.7294589178356713,0.27054108216432865,458.0,405.0,53.0,0.11572052401746726,26.0,0.6708860759493671,,,
predicted_class_rate,1.0,1576.0,1576.0,0.0,1.0,0.0,0.7093908629441624,0.2906091370558376,458.0,458.0,0.0,0.0,0.0,,,,
learned_shape,0.5,1576.0,788.0,788.0,0.5,0.5,0.8578680203045685,0.14213197969543148,458.0,112.0,346.0,0.7554585152838428,442.0,0.43908629441624364,,,
learned_shape,0.6,1576.0,946.0,630.0,0.600253807106599,0.399746192893401,0.8393234672304439,0.160676532769556,458.0,152.0,306.0,0.6681222707423581,324.0,0.4857142857142857,,,
learned_shape,0.7,1576.0,1103.0,473.0,0.6998730964467005,0.3001269035532995,0.8068902991840435,0.1931097008159565,458.0,213.0,245.0,0.5349344978165939,228.0,0.5179704016913319,,,
learned_shape,0.8,1576.0,1261.0,315.0,0.8001269035532995,0.1998730964467005,0.7771609833465504,0.22283901665344966,458.0,281.0,177.0,0.3864628820960699,138.0,0.5619047619047619,,,
learned_shape,0.9,1576.0,1418.0,158.0,0.899746192893401,0.10025380710659898,0.7454160789844851,0.2545839210155148,458.0,361.0,97.0,0.21179039301310043,61.0,0.6139240506329114,,,
learned_shape,0.95,1576.0,1497.0,79.0,0.9498730964467005,0.05012690355329949,0.7294589178356713,0.27054108216432865,458.0,405.0,53.0,0.11572052401746726,26.0,0.6708860759493671,,,
learned_shape,1.0,1576.0,1576.0,0.0,1.0,0.0,0.7093908629441624,0.2906091370558376,458.0,458.0,0.0,0.0,0.0,,,,
learned_full,0.5,1576.0,788.0,788.0,0.5,0.5,0.916243654822335,0.08375634517766498,458.0,66.0,392.0,0.8558951965065502,396.0,0.49746192893401014,,,
learned_full,0.6,1576.0,946.0,630.0,0.600253807106599,0.399746192893401,0.8921775898520085,0.10782241014799154,458.0,102.0,356.0,0.777292576419214,274.0,0.5650793650793651,,,
learned_full,0.7,1576.0,1103.0,473.0,0.6998730964467005,0.3001269035532995,0.8531278331822303,0.1468721668177697,458.0,162.0,296.0,0.6462882096069869,177.0,0.6257928118393234,,,
learned_full,0.8,1576.0,1261.0,315.0,0.8001269035532995,0.1998730964467005,0.8104678826328311,0.1895321173671689,458.0,239.0,219.0,0.4781659388646288,96.0,0.6952380952380952,,,
learned_full,0.9,1576.0,1418.0,158.0,0.899746192893401,0.10025380710659898,0.7637517630465445,0.23624823695345556,458.0,335.0,123.0,0.2685589519650655,35.0,0.7784810126582279,,,
learned_full,0.95,1576.0,1497.0,79.0,0.9498730964467005,0.05012690355329949,0.7374749498997996,0.2625250501002004,458.0,393.0,65.0,0.14192139737991266,14.0,0.8227848101265823,,,
